|                               Benchmark |     pgi_s |     pgi_v |   clang_s |   clang_v |     gcc_s |     gcc_v |     icc_s |     icc_v |
|              conv_i232_kh_c_kw_h_kc_w_c |    168307 |    186093 |    158334 |    207616 |    210778 |    210779 |    164157 |    164096 |
|              conv_i232_kh_c_kw_w_h_kc_c |    122242 |    122189 |    123412 |    153755 |    125776 |    125807 |     96188 |     59540 |
|              conv_i232_kh_c_kw_w_kc_h_c |    692282 |    678381 |    690331 |    644521 |    661567 |    686366 |    670252 |    670666 |
|              conv_i232_kh_c_kw_kc_h_w_c |    379961 |    379977 |    380037 |    380691 |    379994 |    380000 |    380280 |    380268 |
|              conv_i232_kh_c_kw_kc_w_h_c |    587790 |    567519 |    569321 |    587020 |    526965 |    537796 |    574957 |    569553 |
|              conv_i232_kh_c_kc_h_w_kw_c |     76824 |    101563 |    122738 |     83479 |     57221 |     44909 |     96206 |     59558 |
|              conv_i232_kh_c_kc_h_kw_w_c |    134032 |    134093 |    146351 |    173775 |    185848 |    185853 |     76398 |     76412 |
|              conv_i232_kh_c_kc_w_h_kw_c |     94661 |     94949 |     94560 |     94941 |    121207 |    121149 |     96199 |     59546 |
|              conv_i232_kh_c_kc_w_kw_h_c |    710201 |    697959 |    718401 |    663688 |    705016 |    698541 |     76420 |     76408 |
|              conv_i232_kh_c_kc_kw_h_w_c |    379971 |    701891 |    380034 |    380728 |    379993 |    380001 |     76332 |     76325 |
|              conv_i232_kh_c_kc_kw_w_h_c |    579750 |    151638 |    573570 |    583669 |    568535 |    547700 |     76343 |     76332 |
|              conv_i232_kh_kw_h_w_c_kc_c |     91454 |     91324 |     58492 |     69706 |     67288 |     67305 |     96194 |     59542 |
|              conv_i232_kh_kw_h_w_kc_c_c |    167102 |    167211 |    111910 |     67206 |    141787 |     73984 |     96221 |     59688 |
|              conv_i232_kh_kw_h_c_w_kc_c |     62467 |     62244 |     61865 |     94232 |     74912 |     75150 |     96197 |     59167 |
|              conv_i232_kh_kw_h_c_kc_w_c |    120649 |    147369 |    110418 |    158875 |    183623 |    183756 |     96198 |     59541 |
|              conv_i232_kh_kw_h_kc_w_c_c |    168728 |    168801 |    109642 |     56706 |    135030 |     73882 |     96218 |     59685 |
|              conv_i232_kh_kw_h_kc_c_w_c |    158216 |    168818 |    105648 |    154592 |    177183 |    177585 |     96211 |     59544 |
|              conv_i232_kh_kw_w_h_c_kc_c |     92443 |     92297 |     60481 |     71685 |     69125 |     69130 |     96197 |     59597 |
|              conv_i232_kh_kw_w_h_kc_c_c |    166940 |    166991 |    114652 |     69550 |    140644 |     74935 |     96234 |     59678 |
|              conv_i232_kh_kw_w_c_h_kc_c |    127722 |    138431 |    126003 |    169045 |    132578 |    131618 |     96200 |     59149 |
|              conv_i232_kh_kw_w_c_kc_h_c |    727637 |    717980 |    725081 |    640394 |    718231 |    714816 |     96209 |     59579 |
|              conv_i232_kh_kw_w_kc_h_c_c |    169468 |    169400 |    118739 |     62855 |    167306 |     75800 |     96238 |     59669 |
|              conv_i232_kh_kw_w_kc_c_h_c |    734041 |    169454 |    733289 |    604606 |    717536 |    714677 |     96202 |     59545 |
|              conv_i232_kh_kw_c_h_w_kc_c |     96117 |     96218 |     96195 |    124734 |     96185 |     96949 |     96215 |     59663 |
|              conv_i232_kh_kw_c_h_kc_w_c |    179090 |    187701 |    160245 |    211571 |    212768 |    212627 |     96201 |     59542 |
|              conv_i232_kh_kw_c_w_h_kc_c |    123122 |    123297 |    124260 |    150717 |    126587 |    127327 |     96219 |     59678 |
|              conv_i232_kh_kw_c_w_kc_h_c |    691994 |    689340 |    689399 |    641623 |    669534 |    659956 |     96197 |     59570 |
|              conv_i232_kh_kw_c_kc_h_w_c |    381254 |    381030 |    381257 |    381825 |    381378 |    381730 |     96210 |     59545 |
|              conv_i232_kh_kw_c_kc_w_h_c |    582870 |    570589 |    576265 |    585213 |    519453 |    536647 |     96198 |     59578 |
|              conv_i232_kh_kw_kc_h_w_c_c |    176145 |    176119 |    124438 |     62701 |    136333 |     77917 |     96230 |     59668 |
|              conv_i232_kh_kw_kc_h_c_w_c |    153525 |    176200 |    120479 |    172139 |    189498 |    192228 |     96191 |     59559 |
|              conv_i232_kh_kw_kc_w_h_c_c |    176077 |    176004 |    126540 |     77497 |    166917 |     85342 |     96212 |     59660 |
|              conv_i232_kh_kw_kc_w_c_h_c |    740058 |    175948 |    744706 |    639574 |    721796 |    715725 |     96198 |     59572 |
|              conv_i232_kh_kw_kc_c_h_w_c |    385566 |    385056 |    383427 |    385701 |    384088 |    384295 |     96199 |     59560 |
|              conv_i232_kh_kw_kc_c_w_h_c |    582879 |    571316 |    581169 |    602510 |    568963 |    526979 |     96203 |     59545 |
|              conv_i232_kh_kc_h_w_c_kw_c |     68743 |    176265 |     68443 |     61069 |     60581 |     60572 |     96188 |     59544 |
|              conv_i232_kh_kc_h_w_kw_c_c |    169061 |     92295 |    115672 |     72408 |    144031 |     72329 |     76046 |     76068 |
|              conv_i232_kh_kc_h_c_w_kw_c |     69656 |     92378 |    117835 |     82156 |     57174 |     44057 |     96197 |     59135 |
|              conv_i232_kh_kc_h_c_kw_w_c |    156918 |    156914 |    131345 |    164665 |    204522 |    205591 |     76413 |     76386 |
|              conv_i232_kh_kc_h_kw_w_c_c |    176270 |    157091 |    106985 |     55003 |    167122 |     72846 |     76335 |     76335 |
|              conv_i232_kh_kc_h_kw_c_w_c |    118519 |    176273 |    139375 |    150429 |    174448 |    174527 |     76019 |     76009 |
|              conv_i232_kh_kc_w_h_c_kw_c |     69827 |    168216 |     70075 |     62394 |     61752 |     61772 |     96193 |     59570 |
|              conv_i232_kh_kc_w_h_kw_c_c |    176497 |     96567 |    115226 |     74418 |    144302 |     72957 |     76046 |     76054 |
|              conv_i232_kh_kc_w_c_h_kw_c |     96452 |     96679 |     96445 |    105117 |    142106 |    142091 |     96201 |     59228 |
|              conv_i232_kh_kc_w_c_kw_h_c |    718069 |    715871 |    726677 |    641989 |    718200 |    718827 |     76385 |     76373 |
|              conv_i232_kh_kc_w_kw_h_c_c |    168213 |    717295 |    116746 |     59121 |    143002 |     73556 |     76331 |     76321 |
|              conv_i232_kh_kc_w_kw_c_h_c |    736758 |    168208 |    735632 |    623501 |    731906 |    713850 |     76013 |     76019 |
|              conv_i232_kh_kc_c_h_w_kw_c |     76936 |    100493 |    128716 |     84274 |     57855 |     45355 |     96216 |     59539 |
|              conv_i232_kh_kc_c_h_kw_w_c |    137354 |    137542 |    146890 |    174579 |    214149 |    214940 |     76421 |     76398 |
|              conv_i232_kh_kc_c_w_h_kw_c |     95080 |     95787 |     96436 |     97978 |    122609 |    122129 |     96201 |     59542 |
|              conv_i232_kh_kc_c_w_kw_h_c |    701941 |    702750 |    716696 |    678346 |    705454 |    703257 |     76411 |     76399 |
|              conv_i232_kh_kc_c_kw_h_w_c |    380258 |    702583 |    380379 |    381124 |    380375 |    380272 |     76164 |     76147 |
|              conv_i232_kh_kc_c_kw_w_h_c |    576290 |    152097 |    566665 |    585823 |    517789 |    527244 |     76149 |     76134 |
|              conv_i232_kh_kc_kw_h_w_c_c |    168268 |    168306 |    124271 |     62419 |    136287 |     78949 |     76343 |     76360 |
|              conv_i232_kh_kc_kw_h_c_w_c |    148130 |    168298 |    121543 |    171498 |    189327 |    191092 |     76014 |     76024 |
|              conv_i232_kh_kc_kw_w_h_c_c |    168350 |    168408 |    126653 |     75782 |    166933 |     83485 |     76338 |     76350 |
|              conv_i232_kh_kc_kw_w_c_h_c |    741284 |    168397 |    742235 |    629902 |    705287 |    719450 |     76020 |     76019 |
|              conv_i232_kh_kc_kw_c_h_w_c |    384707 |    384486 |    384081 |    384750 |    384873 |    386832 |     76337 |     76329 |
|              conv_i232_kh_kc_kw_c_w_h_c |    573196 |    576583 |    569552 |    588402 |    571632 |    549110 |     76340 |     76319 |
|              conv_i232_kw_h_w_c_kh_kc_c |    186453 |    186121 |     57829 |     57825 |     96626 |     96620 |     96202 |     59545 |
|              conv_i232_kw_h_w_c_kc_kh_c |    166096 |    165360 |    170333 |     21393 |     98134 |     35565 |     96195 |     59558 |
|              conv_i232_kw_h_w_kh_c_kc_c |     89167 |     89163 |     58268 |     62019 |     67899 |     67895 |     96189 |     59549 |
|              conv_i232_kw_h_w_kh_kc_c_c |    167047 |    167050 |    107560 |     67304 |    139974 |     72642 |    119796 |     30931 |
|              conv_i232_kw_h_w_kc_c_kh_c |     71530 |     72251 |     72081 |     58535 |     62956 |     63022 |     96217 |     59568 |
|              conv_i232_kw_h_w_kc_kh_c_c |    170165 |    170125 |    113186 |     68774 |    138999 |     72607 |    117093 |     51801 |
|              conv_i232_kw_h_c_w_kh_kc_c |    186546 |    186104 |     57040 |     57030 |    106741 |    106687 |     96201 |     59561 |
|              conv_i232_kw_h_c_w_kc_kh_c |    167178 |    166919 |    170467 |     23462 |    115444 |     36571 |     96204 |     59539 |
|              conv_i232_kw_h_c_kh_w_kc_c |     59253 |     59282 |     58326 |     81392 |     73330 |     73356 |     96189 |     59543 |
|              conv_i232_kw_h_c_kh_kc_w_c |    117025 |    143721 |    105910 |    156191 |    180252 |    180249 |    117802 |    117790 |
|              conv_i232_kw_h_c_kc_w_kh_c |     67328 |     67350 |     68022 |     71513 |    108623 |    108692 |     96221 |     59672 |
|              conv_i232_kw_h_c_kc_kh_w_c |    156190 |    156209 |    112715 |    160282 |    176650 |    176695 |    120177 |    120162 |
|              conv_i232_kw_h_kh_w_c_kc_c |     88770 |     88759 |     58103 |     62393 |     66960 |     66955 |     96200 |     59544 |
|              conv_i232_kw_h_kh_w_kc_c_c |    166656 |    166664 |    108061 |     64473 |    140233 |     72486 |    119564 |      8515 |
|              conv_i232_kw_h_kh_c_w_kc_c |     58798 |     58747 |     57949 |     90451 |     72395 |     72415 |     96205 |     59560 |
|              conv_i232_kw_h_kh_c_kc_w_c |    116290 |    143335 |    105519 |    154049 |    179345 |    179361 |    117249 |    117166 |
|              conv_i232_kw_h_kh_kc_w_c_c |    168664 |    168665 |    101940 |     54060 |    167185 |     72207 |    115927 |     11069 |
|              conv_i232_kw_h_kh_kc_c_w_c |    154503 |    168669 |    100551 |    150578 |    173293 |    173293 |    116326 |    116317 |
|              conv_i232_kw_h_kc_w_c_kh_c |     71371 |    176614 |     71923 |     58984 |     63476 |     63501 |     96213 |     59667 |
|              conv_i232_kw_h_kc_w_kh_c_c |    169133 |     67640 |    114255 |     72304 |    143914 |     72705 |    116885 |     14972 |
|              conv_i232_kw_h_kc_c_w_kh_c |     67573 |     67585 |     68793 |     74259 |    102273 |    102283 |     96208 |     59204 |
|              conv_i232_kw_h_kc_c_kh_w_c |    119429 |    155983 |    112060 |    164163 |    176430 |    176434 |    119732 |    119860 |
|              conv_i232_kw_h_kc_kh_w_c_c |    176612 |    156028 |    101691 |     54030 |    167109 |     72468 |    115893 |     11048 |
|              conv_i232_kw_h_kc_kh_c_w_c |    117408 |    176616 |    100582 |    150432 |    173280 |    173296 |    116963 |    116999 |
|              conv_i232_kw_w_h_c_kh_kc_c |    186753 |    186412 |     57663 |     57666 |     97160 |     97108 |     96195 |     59563 |
|              conv_i232_kw_w_h_c_kc_kh_c |    169532 |    165684 |    170586 |     21510 |     97826 |     35442 |     96217 |     59591 |
|              conv_i232_kw_w_h_kh_c_kc_c |     89304 |     89392 |     58390 |     62037 |     68223 |     68230 |     96207 |     59551 |
|              conv_i232_kw_w_h_kh_kc_c_c |    166974 |    166974 |    107810 |     67359 |    140248 |     72622 |    119825 |     30796 |
|              conv_i232_kw_w_h_kc_c_kh_c |     71785 |     72664 |     72290 |     59136 |     63197 |     63280 |     96212 |     59565 |
|              conv_i232_kw_w_h_kc_kh_c_c |    170695 |    170601 |    114402 |     68447 |    168639 |     72619 |    117157 |     52141 |
|              conv_i232_kw_w_c_h_kh_kc_c |    205170 |    205198 |     69711 |     69715 |     98444 |     98364 |     96194 |     59536 |
|              conv_i232_kw_w_c_h_kc_kh_c |    181698 |    181620 |    174175 |     41719 |     99163 |     37509 |     96209 |     59593 |
|              conv_i232_kw_w_c_kh_h_kc_c |    133999 |    134537 |    129467 |    181315 |    131021 |    128884 |     96197 |     59550 |
|              conv_i232_kw_w_c_kh_kc_h_c |    715080 |    716250 |    716814 |    708269 |    715231 |    719969 |    724744 |    738617 |
|              conv_i232_kw_w_c_kc_h_kh_c |     93609 |    127796 |    147256 |    105488 |     66033 |     66082 |     96216 |     59676 |
|              conv_i232_kw_w_c_kc_kh_h_c |    718646 |    714886 |    731592 |    642968 |    715007 |    725052 |    734986 |    727928 |
|              conv_i232_kw_w_kh_h_c_kc_c |     89133 |     89176 |     60167 |     62740 |     68899 |     68918 |     96197 |     59555 |
|              conv_i232_kw_w_kh_h_kc_c_c |    166727 |    166727 |    110924 |     65387 |    140405 |     72710 |    119590 |     11020 |
|              conv_i232_kw_w_kh_c_h_kc_c |    131413 |    126412 |    127544 |    170189 |    126672 |    126976 |     96209 |     59569 |
|              conv_i232_kw_w_kh_c_kc_h_c |    733918 |    720230 |    719046 |    629029 |    720373 |    726861 |    731204 |    732640 |
|              conv_i232_kw_w_kh_kc_h_c_c |    168141 |    168265 |    116082 |     57702 |    142288 |     72517 |    117403 |     18785 |
|              conv_i232_kw_w_kh_kc_c_h_c |    712777 |    168018 |    741698 |    607083 |    729180 |    731176 |    733463 |    732550 |
|              conv_i232_kw_w_kc_h_c_kh_c |     72282 |    169381 |     72607 |     59447 |     62923 |     62929 |     96224 |     59669 |
|              conv_i232_kw_w_kc_h_kh_c_c |    171310 |    126787 |    114601 |     67694 |    167623 |     72679 |    116877 |     12543 |
|              conv_i232_kw_w_kc_c_h_kh_c |     93456 |    126798 |    146007 |    110057 |     67243 |     67279 |     96202 |     59181 |
|              conv_i232_kw_w_kc_c_kh_h_c |    716141 |    716784 |    728242 |    628743 |    723369 |    717081 |    732757 |    723884 |
|              conv_i232_kw_w_kc_kh_h_c_c |    169581 |    714369 |    122704 |     57612 |    142094 |     72617 |    117523 |     18790 |
|              conv_i232_kw_w_kc_kh_c_h_c |    736127 |    169255 |    734031 |    614763 |    726768 |    741114 |    734667 |    748508 |
|              conv_i232_kw_c_h_w_kh_kc_c |    188966 |    188526 |     57314 |     57276 |    101260 |    101248 |     96197 |     59560 |
|              conv_i232_kw_c_h_w_kc_kh_c |    174243 |    174329 |    170798 |     25644 |    114873 |     41189 |     96197 |     59593 |
|              conv_i232_kw_c_h_kh_w_kc_c |     60936 |     60974 |     60104 |     84206 |     73558 |     73602 |     96191 |     59578 |
|              conv_i232_kw_c_h_kh_kc_w_c |    120262 |    146969 |    110202 |    161487 |    182611 |    182682 |    121328 |    121363 |
|              conv_i232_kw_c_h_kc_w_kh_c |     69509 |     69543 |     71919 |     73683 |    102908 |    102974 |     96198 |     59561 |
|              conv_i232_kw_c_h_kc_kh_w_c |    150658 |    150681 |    117064 |    167359 |    178911 |    178916 |    124056 |    124061 |
|              conv_i232_kw_c_w_h_kh_kc_c |    205151 |    205322 |     69958 |     69920 |     97343 |     97332 |     96195 |     59567 |
|              conv_i232_kw_c_w_h_kc_kh_c |    180289 |    180374 |    174584 |     38618 |     98685 |     37332 |     96193 |     59570 |
|              conv_i232_kw_c_w_kh_h_kc_c |    127092 |    126555 |    126653 |    175473 |    128025 |    127949 |     96202 |     59582 |
|              conv_i232_kw_c_w_kh_kc_h_c |    713157 |    716700 |    717142 |    695185 |    714655 |    717958 |    726444 |    717498 |
|              conv_i232_kw_c_w_kc_h_kh_c |     93636 |    127628 |    145520 |    106230 |     66081 |     66060 |     96196 |     59549 |
|              conv_i232_kw_c_w_kc_kh_h_c |    716768 |    719077 |    724444 |    622326 |    719011 |    715408 |    718815 |    713655 |
|              conv_i232_kw_c_kh_h_w_kc_c |     94802 |     94823 |     94814 |    123663 |     94857 |     94881 |     96207 |     59563 |
|              conv_i232_kw_c_kh_h_kc_w_c |    170604 |    185317 |    158402 |    208890 |    210543 |    210562 |     59498 |     45240 |
|              conv_i232_kw_c_kh_w_h_kc_c |    122120 |    122120 |    123307 |    148409 |    125747 |    125772 |     96189 |     59544 |
|              conv_i232_kw_c_kh_w_kc_h_c |    690717 |    674499 |    685273 |    622371 |    672930 |    656741 |     59499 |     45194 |
|              conv_i232_kw_c_kh_kc_h_w_c |    379994 |    379987 |    380020 |    380821 |    379996 |    380012 |     59497 |     45230 |
|              conv_i232_kw_c_kh_kc_w_h_c |    568791 |    568318 |    582211 |    585587 |    546535 |    552494 |     59498 |     45174 |
|              conv_i232_kw_c_kc_h_w_kh_c |     75141 |     76148 |     76106 |     82512 |    126435 |    126447 |     96204 |     59156 |
|              conv_i232_kw_c_kc_h_kh_w_c |    156893 |    133829 |    125765 |    175954 |    186146 |    186204 |     74033 |     74006 |
|              conv_i232_kw_c_kc_w_h_kh_c |     92341 |    128958 |    138885 |    107109 |     66163 |     66192 |     96202 |     59143 |
|              conv_i232_kw_c_kc_w_kh_h_c |    699336 |    696807 |    715370 |    667660 |    710619 |    701692 |     74026 |     74036 |
|              conv_i232_kw_c_kc_kh_h_w_c |    379995 |    706136 |    380014 |    380683 |    380008 |    380033 |     74009 |     73998 |
|              conv_i232_kw_c_kc_kh_w_h_c |    569794 |    152556 |    576496 |    596303 |    560436 |    540628 |     73967 |     74006 |
|              conv_i232_kw_kh_h_w_c_kc_c |     91341 |     91847 |     58501 |     69634 |     67278 |     67360 |     96191 |     59560 |
|              conv_i232_kw_kh_h_w_kc_c_c |    167432 |    167389 |    112167 |     67106 |    141624 |     74063 |     59139 |     45114 |
|              conv_i232_kw_kh_h_c_w_kc_c |     62624 |     62611 |     61591 |     93875 |     75029 |     75400 |     96209 |     59159 |
|              conv_i232_kw_kh_h_c_kc_w_c |    120999 |    157885 |    110206 |    156865 |    183484 |    183649 |     59501 |     45221 |
|              conv_i232_kw_kh_h_kc_w_c_c |    167662 |    167729 |    109928 |     56798 |    135133 |     74453 |     59135 |     45088 |
|              conv_i232_kw_kh_h_kc_c_w_c |    158194 |    167811 |    105471 |    154156 |    177196 |    177606 |     59501 |     45275 |
|              conv_i232_kw_kh_w_h_c_kc_c |     92456 |     92104 |     60577 |     70205 |     69145 |     69121 |     96195 |     59576 |
|              conv_i232_kw_kh_w_h_kc_c_c |    166716 |    166707 |    115389 |     66025 |    139719 |     75278 |     59139 |     45133 |
|              conv_i232_kw_kh_w_c_h_kc_c |    143762 |    134326 |    136477 |    169020 |    127530 |    131846 |     96204 |     59152 |
|              conv_i232_kw_kh_w_c_kc_h_c |    726991 |    721901 |    729568 |    640438 |    731649 |    720395 |     59512 |     45156 |
|              conv_i232_kw_kh_w_kc_h_c_c |    168511 |    168523 |    118993 |     61862 |    167303 |     75786 |     59150 |     45067 |
|              conv_i232_kw_kh_w_kc_c_h_c |    750357 |    168541 |    727156 |    622421 |    741135 |    721421 |     59499 |     45255 |
|              conv_i232_kw_kh_c_h_w_kc_c |     96419 |     96334 |     96178 |    124968 |     96381 |     96734 |     96215 |     59665 |
|              conv_i232_kw_kh_c_h_kc_w_c |    169839 |    187127 |    160583 |    210041 |    212513 |    214870 |     59518 |     45216 |
|              conv_i232_kw_kh_c_w_h_kc_c |    123455 |    123234 |    124542 |    148624 |    126694 |    126835 |     96209 |     59672 |
|              conv_i232_kw_kh_c_w_kc_h_c |    684628 |    685824 |    689187 |    661089 |    666338 |    669593 |     59499 |     45236 |
|              conv_i232_kw_kh_c_kc_h_w_c |    381210 |    380981 |    381275 |    381719 |    381261 |    381325 |     59498 |     45179 |
|              conv_i232_kw_kh_c_kc_w_h_c |    566304 |    573037 |    572338 |    595426 |    517660 |    520075 |     59504 |     45260 |
|              conv_i232_kw_kh_kc_h_w_c_c |    176153 |    176251 |    123320 |     62963 |    136488 |     78496 |     59139 |     45092 |
|              conv_i232_kw_kh_kc_h_c_w_c |    160093 |    176221 |    119526 |    172533 |    188889 |    189346 |     59501 |     45233 |
|              conv_i232_kw_kh_kc_w_h_c_c |    176065 |    176009 |    126902 |     77896 |    167009 |     85422 |     59137 |     45119 |
|              conv_i232_kw_kh_kc_w_c_h_c |    741668 |    176025 |    749824 |    611231 |    716757 |    732300 |     59501 |     45207 |
|              conv_i232_kw_kh_kc_c_h_w_c |    384496 |    384936 |    383803 |    387224 |    385668 |    384597 |     59496 |     45179 |
|              conv_i232_kw_kh_kc_c_w_h_c |    574631 |    576246 |    577059 |    582366 |    548800 |    585323 |     59501 |     45214 |
|              conv_i232_kw_kc_h_w_c_kh_c |     71409 |    168173 |     72011 |     58971 |     62690 |     62688 |     96195 |     59563 |
|              conv_i232_kw_kc_h_w_kh_c_c |    176702 |     68923 |    114142 |     73619 |    144148 |     73235 |     74016 |     73970 |
|              conv_i232_kw_kc_h_c_w_kh_c |     69042 |     68917 |     70236 |     79280 |    121276 |    121413 |     96201 |     59577 |
|              conv_i232_kw_kc_h_c_kh_w_c |    157008 |    156917 |    111052 |    165629 |    177159 |    177073 |     73984 |     74008 |
|              conv_i232_kw_kc_h_kh_w_c_c |    168154 |    156865 |    103420 |     54930 |    141932 |     73068 |     74659 |     74665 |
|              conv_i232_kw_kc_h_kh_c_w_c |    154153 |    168159 |    101817 |    157498 |    174502 |    174404 |     74722 |     74766 |
|              conv_i232_kw_kc_w_h_c_kh_c |     72369 |    176544 |     72777 |     60334 |     62778 |     62790 |     96206 |     59546 |
|              conv_i232_kw_kc_w_h_kh_c_c |    176633 |    128976 |    114945 |     73441 |    167650 |     73261 |     74007 |     73982 |
|              conv_i232_kw_kc_w_c_h_kh_c |     94076 |    128801 |    148705 |    115338 |     69420 |     69247 |     96209 |     59541 |
|              conv_i232_kw_kc_w_c_kh_h_c |    714613 |    714964 |    731234 |    636753 |    726041 |    715819 |     74041 |     74013 |
|              conv_i232_kw_kc_w_kh_h_c_c |    176555 |    719021 |    122967 |     59028 |    167224 |     73482 |     74746 |     74675 |
|              conv_i232_kw_kc_w_kh_c_h_c |    732251 |    176552 |    731689 |    597071 |    735795 |    722134 |     74791 |     74778 |
|              conv_i232_kw_kc_c_h_w_kh_c |     76029 |     77724 |     77046 |     83084 |    126674 |    126548 |     96206 |     59155 |
|              conv_i232_kw_kc_c_h_kh_w_c |    137071 |    138498 |    126274 |    176789 |    186925 |    186944 |     73918 |     73892 |
|              conv_i232_kw_kc_c_w_h_kh_c |     93321 |    128229 |    147232 |    108498 |     67191 |     67412 |     96197 |     59166 |
|              conv_i232_kw_kc_c_w_kh_h_c |    703088 |    700047 |    713669 |    660232 |    712790 |    698421 |     73960 |     73927 |
|              conv_i232_kw_kc_c_kh_h_w_c |    380304 |    700201 |    380376 |    381182 |    380353 |    380437 |     74168 |     74155 |
|              conv_i232_kw_kc_c_kh_w_h_c |    574190 |    152979 |    568439 |    578709 |    517048 |    530971 |     74179 |     74214 |
|              conv_i232_kw_kc_kh_h_w_c_c |    168279 |    168327 |    124581 |     62981 |    136578 |     78509 |     73957 |     74006 |
|              conv_i232_kw_kc_kh_h_c_w_c |    148375 |    168313 |    120055 |    173484 |    188892 |    191670 |     74791 |     74753 |
|              conv_i232_kw_kc_kh_w_h_c_c |    168358 |    168390 |    127427 |     78396 |    167015 |     85030 |     74012 |     73955 |
|              conv_i232_kw_kc_kh_w_c_h_c |    738435 |    168359 |    743054 |    631654 |    724370 |    716778 |     74790 |     74710 |
|              conv_i232_kw_kc_kh_c_h_w_c |    384524 |    383932 |    384543 |    386919 |    384743 |    385705 |     75030 |     75135 |
|              conv_i232_kw_kc_kh_c_w_h_c |    572994 |    586403 |    581354 |    585818 |    579575 |    576357 |     75114 |     75109 |
|              conv_i232_kc_h_w_c_kh_kw_c |    242280 |    242281 |    170255 |    170244 |    133045 |    132621 |     96198 |     59683 |
|              conv_i232_kc_h_w_c_kw_kh_c |    240464 |    240463 |    170200 |    170199 |    126527 |    126519 |     96233 |     59669 |
|              conv_i232_kc_h_w_kh_c_kw_c |     68786 |     69001 |     68866 |     61816 |     61229 |     60788 |     96206 |     59541 |
|              conv_i232_kc_h_w_kh_kw_c_c |    169248 |    240267 |    112890 |     68854 |    139147 |     72029 |    116888 |     67009 |
|              conv_i232_kc_h_w_kw_c_kh_c |     71439 |     72476 |     71668 |     58682 |     63002 |     62965 |     96196 |     59569 |
|              conv_i232_kc_h_w_kw_kh_c_c |    169250 |    240675 |    114112 |     67608 |    140240 |     72386 |    116883 |     51195 |
|              conv_i232_kc_h_c_w_kh_kw_c |    242405 |    244683 |    171247 |    171250 |    133838 |    133821 |     96205 |     59661 |
|              conv_i232_kc_h_c_w_kw_kh_c |    240416 |    240403 |    170240 |    170237 |    122746 |    122732 |     96215 |     59669 |
|              conv_i232_kc_h_c_kh_w_kw_c |     67824 |     89640 |    114747 |     72586 |     55057 |     43238 |     96200 |     59570 |
|              conv_i232_kc_h_c_kh_kw_w_c |    122410 |    122372 |    130060 |    155454 |    204499 |    203561 |    118234 |    120380 |
|              conv_i232_kc_h_c_kw_w_kh_c |     66265 |     66256 |     67383 |     72069 |    121569 |    121573 |     96220 |     59559 |
|              conv_i232_kc_h_c_kw_kh_w_c |    155880 |    155873 |    111963 |    163629 |    176015 |    176008 |    120132 |    119906 |
|              conv_i232_kc_h_kh_w_c_kw_c |     68610 |    168155 |     68276 |     60802 |     60539 |     60524 |     96202 |     59550 |
|              conv_i232_kc_h_kh_w_kw_c_c |    169873 |     90329 |    112246 |     71536 |    167652 |     72029 |    116791 |     10558 |
|              conv_i232_kc_h_kh_c_w_kw_c |     67632 |     90358 |    112255 |     81502 |     56221 |     43206 |     96194 |     59177 |
|              conv_i232_kc_h_kh_c_kw_w_c |    119151 |    119141 |    129628 |    163251 |    176250 |    176248 |    118796 |    118783 |
|              conv_i232_kc_h_kh_kw_w_c_c |    168151 |    119147 |    104505 |     53771 |    167084 |     72359 |    115773 |     10892 |
|              conv_i232_kc_h_kh_kw_c_w_c |    117056 |    168154 |    131786 |    149038 |    172988 |    172967 |    116306 |    116261 |
|              conv_i232_kc_h_kw_w_c_kh_c |     71347 |    168163 |     71735 |     58760 |     62758 |     62684 |     96491 |     59169 |
|              conv_i232_kc_h_kw_w_kh_c_c |    176769 |     67713 |    113302 |     67384 |    143966 |     72195 |    116818 |     14150 |
|              conv_i232_kc_h_kw_c_w_kh_c |     67724 |     67730 |     68496 |     78071 |    107959 |    107962 |     96205 |     59149 |
|              conv_i232_kc_h_kw_c_kh_w_c |    155950 |    156055 |    111732 |    165249 |    176171 |    176168 |    119811 |    119799 |
|              conv_i232_kc_h_kw_kh_w_c_c |    168156 |    155935 |    101296 |     54219 |    167142 |     72058 |    115766 |     10887 |
|              conv_i232_kc_h_kw_kh_c_w_c |    120207 |    168159 |    100191 |    156187 |    173004 |    173023 |    116387 |    116353 |
|              conv_i232_kc_w_h_c_kh_kw_c |    242349 |    242350 |    170229 |    170228 |    128201 |    128214 |     96223 |     59677 |
|              conv_i232_kc_w_h_c_kw_kh_c |    240624 |    240612 |    170273 |    170272 |    133280 |    133268 |     96227 |     59652 |
|              conv_i232_kc_w_h_kh_c_kw_c |     68858 |     69187 |     70008 |     61710 |     61563 |     61606 |     96186 |     59584 |
|              conv_i232_kc_w_h_kh_kw_c_c |    169246 |    240326 |    114193 |     68982 |    139121 |     72114 |    116916 |     67727 |
|              conv_i232_kc_w_h_kw_c_kh_c |     71520 |     72644 |     71980 |     58687 |     63910 |     63807 |     96199 |     59544 |
|              conv_i232_kc_w_h_kw_kh_c_c |    169247 |    240865 |    113762 |     67642 |    143863 |     72246 |    116925 |     51435 |
|              conv_i232_kc_w_c_h_kh_kw_c |    249188 |    249121 |    170627 |    170633 |    133796 |    133750 |     96199 |     59656 |
|              conv_i232_kc_w_c_h_kw_kh_c |    249150 |    249409 |    171180 |    171188 |    128746 |    128648 |     96213 |     59177 |
